ml_um,ap_um
300,-7500
806,-7500
1370,-7500
800,-7250
1296,-7250
1779,-7250
2237,-7250
2704,-7250
3136,-7250
300,-7000
832,-7000
1370,-7000
1883,-7000
800,-6750
1254,-6750
1771,-6750
2236,-6750
2686,-6750
3136,-6750
300,-6500
806,-6500
1408,-6500
1870,-6500
2446,-6500
3023,-6500
787,-6250
1245,-6250
1745,-6250
2229,-6250
2687,-6250
3136,-6250
300,-6000
832,-6000
1370,-6000
1896,-6000
2421,-6000
3010,-6000
787,-5750
1271,-5750
1720,-5750
2195,-5750
2670,-5750
3120,-5750
-800,-5500
-1294,-5500
-1714,-5500
-2064,-5500
-2514,-5500
-2937,-5500
-804,-5250
986,-5250
464,-5250
-1913,-5250
-1141,-5000
-717,-5000
-1794,-5000
-2281,-5000
-2730,-5000
-3166,-5000
-1800,-4750
-2300,-4750
-846,-4750
-1300,-4750
920,-4750
449,-4750
-2829,-4750
-3396,-4750
-1800,-4500
-2268,-4500
-1300,-4500
-679,-4500
-2717,-4500
-3360,-4500
-2846,-4250
-800,-4250
-1300,-4250
-2304,-4250
1000,-4250
347,-4250
-3405,-4250
-3997,-4250
-2255,-4000
-2704,-4000
-794,-4000
-1294,-4000
-1781,-4000
-3154,-4000
-3577,-4000
-3975,-4000
-4364,-4000
-800,-3750
-1300,-3750
-1804,-3750
1000,-3750
493,-3750
-3413,-3750
-3997,-3750
-1300,-3500
-1781,-3500
-800,-3500
-2243,-3500
-2704,-3500
-3154,-3500
-3577,-3500
1000,-3250
500,-3250
-800,-3250
-1300,-3250
-1813,-3250
-2338,-3250
-2871,-3250
-3413,-3250
-3997,-3250
-1768,-3000
-2243,-3000
-800,-3000
-1300,-3000
-2704,-3000
-3154,-3000
-3577,-3000
-800,-2750
-2346,-2750
-1304,-2750
-1821,-2750
1000,-2750
500,-2750
-2880,-2750
-3430,-2750
-3997,-2750
-1768,-2500
-800,-2500
-1294,-2500
-2243,-2500
-2704,-2500
-3154,-2500
-3577,-2500
-1821,-2250
-2346,-2250
-800,-2250
-1304,-2250
1000,-2250
493,-2250
-2880,-2250
-3430,-2250
-4006,-2250
-800,-2000
-1294,-2000
-1768,-2000
-2243,-2000
-2704,-2000
-3154,-2000
-3577,-2000
-2346,-1750
-1313,-1750
-1821,-1750
-800,-1750
993,-1750
493,-1750
-2888,-1750
-3430,-1750
-4006,-1750
-800,-1500
-1768,-1500
-2243,-1500
-1294,-1500
-2704,-1500
-3141,-1500
-3577,-1500
-2355,-1250
-804,-1250
986,-1250
-1313,-1250
493,-1250
-1829,-1250
-2888,-1250
-3438,-1250
-4022,-1250
-800,-1000
-1294,-1000
-1781,-1000
-2243,-1000
-2692,-1000
-3141,-1000
-3564,-1000
-813,-750
-1313,-750
978,-750
478,-750
-1821,-750
-2355,-750
-2896,-750
-3447,-750
-800,-500
-1300,-500
-1781,-500
-2255,-500
-2704,-500
-3141,-500
-804,-250
-1304,-250
993,-250
478,-250
-1821,-250
-2355,-250
-2896,-250
-3447,-250
-800,0
-1300,0
-1781,0
-2243,0
-2704,0
-3141,0
-804,250
-1313,250
-1829,250
978,250
478,250
-2363,250
-2896,250
-3455,250
-800,500
-1294,500
-1768,500
-2230,500
-2692,500
-3128,500
-1321,750
-804,750
978,750
478,750
-1846,750
-2371,750
-2913,750
-800,1000
-1281,1000
-1743,1000
-2204,1000
-2654,1000
464,1250
-813,1250
-1321,1250
978,1250
-1855,1250
-2396,1250
-2947,1250
-800,1500
-1281,1500
-1743,1500
-2192,1500
-2628,1500
-3064,1500
-3464,1500
978,1750
464,1750
-813,1750
-2405,1750
-1281,2000
-800,2000
-1743,2000
-2192,2000
-2615,2000
-3014,2000
449,2250
-800,2500
-1281,2500
-1743,2500
-2192,2500
-2614,2500
420,2750
-800,3000
-1294,3000
-1755,3000
-2192,3000
1781,-4000
2243,-2000
1281,2500